Block comparison (size 4096 bytes)
Total blocks: 256

0x000000-0x000FFF: DIFFERENT | selected=duo_dump | CRCs: u1=E0EB6A88 u2=4FFA32F4 duo=3F0B2A03
0x001000-0x001FFF: ALL_MATCH | selected=update2 | CRCs: u1=0FAF290E u2=0FAF290E duo=0FAF290E
0x002000-0x002FFF: DIFFERENT | selected=duo_dump | CRCs: u1=B016A352 u2=186ADE15 duo=0F754809
0x003000-0x003FFF: DIFFERENT | selected=duo_dump | CRCs: u1=5CC21787 u2=9F6D23F6 duo=155C085E
0x004000-0x004FFF: DIFFERENT | selected=duo_dump | CRCs: u1=9A063046 u2=9B79DD27 duo=8BEE3D01
0x005000-0x005FFF: DIFFERENT | selected=duo_dump | CRCs: u1=5D07C7EA u2=CCDAA42D duo=A8920C04
0x006000-0x006FFF: DIFFERENT | selected=duo_dump | CRCs: u1=251A6457 u2=6B7E7C6F duo=552D7D0F
0x007000-0x007FFF: DIFFERENT | selected=duo_dump | CRCs: u1=0566BAC2 u2=FAD9C136 duo=5729D26D
0x008000-0x008FFF: DIFFERENT | selected=duo_dump | CRCs: u1=626001AC u2=BDD146FA duo=BBF9FFD0
0x009000-0x009FFF: DIFFERENT | selected=duo_dump | CRCs: u1=E3083095 u2=DD99C905 duo=56F5BE57
0x00A000-0x00AFFF: DIFFERENT | selected=duo_dump | CRCs: u1=65DD10B3 u2=4323710E duo=A2C5D0F7
0x00B000-0x00BFFF: DIFFERENT | selected=duo_dump | CRCs: u1=3B5C5D8D u2=EA5417BE duo=BE81DA9C
0x00C000-0x00CFFF: DIFFERENT | selected=duo_dump | CRCs: u1=E8D9A4B7 u2=A9C8D57E duo=2855CF68
0x00D000-0x00DFFF: DIFFERENT | selected=duo_dump | CRCs: u1=2F268EEF u2=CEB2B722 duo=76A74FAF
0x00E000-0x00EFFF: DIFFERENT | selected=duo_dump | CRCs: u1=29B13550 u2=69EE0B0B duo=0398E071
0x00F000-0x00FFFF: DIFFERENT | selected=duo_dump | CRCs: u1=87254668 u2=8772AB2C duo=AFB02E32
0x010000-0x010FFF: DIFFERENT | selected=duo_dump | CRCs: u1=AA7611ED u2=D429CFD9 duo=142BF483
0x011000-0x011FFF: DIFFERENT | selected=duo_dump | CRCs: u1=832C6592 u2=EF5D02E4 duo=8B1C49B8
0x012000-0x012FFF: DIFFERENT | selected=duo_dump | CRCs: u1=2071A3E5 u2=6D104C1C duo=FFF0CAF9
0x013000-0x013FFF: DIFFERENT | selected=duo_dump | CRCs: u1=1BE132F1 u2=04E45BD7 duo=0B8158F3
0x014000-0x014FFF: DIFFERENT | selected=duo_dump | CRCs: u1=17E936EB u2=CEEF9BA7 duo=A586449F
0x015000-0x015FFF: DIFFERENT | selected=duo_dump | CRCs: u1=367F2F90 u2=F27B1017 duo=1CB638C7
0x016000-0x016FFF: DIFFERENT | selected=duo_dump | CRCs: u1=4583DC30 u2=73B888BA duo=9D723BD7
